subgroup,term,coef,p,significant
Ω,const,-0.33063654720712876,0.2211242617870277,no
Ω,G1,0.15894483884650937,7.676373716686394e-05,yes
Ω,G2,0.8875813211521996,8.869634653124218e-84,yes
Ω,absences,0.01739342213237246,0.15393781161905412,no
Ω,activities,-0.07929628502409,0.4716567029520038,no
Ω,paid,-0.3439872405601818,0.1249512845722432,no
Ω,famsup,0.1227584567500204,0.2787126283550241,no
Ω,schoolsup,-0.11422267078204218,0.5399930159379263,no
Ω,studytime,0.041239878250291774,0.5646221120773909,no
#0,const,-2.7904279471288476,0.0489461841010978,yes
#0,G1,0.7954571427396132,0.0003436140438222653,yes
#0,G2,0.39379834436605227,0.03085667822344426,yes
#0,absences,-0.049514402535152935,0.6933503174895297,no
#0,activities,0.7143959039582581,0.2924230525674585,no
#0,paid,-5.530959012060352,0.002976137006613157,yes
#0,famsup,1.9673504264584527,0.030989752139355706,yes
#0,schoolsup,-9.398559379032275,5.87616379751793e-05,yes
#0,studytime,-0.003401450550450158,0.9947833108476989,no
#1,const,-5.9312355405985535,0.004862453798381834,yes
#1,G1,0.983349575763106,0.002199814271126599,yes
#1,G2,0.3881413070137054,0.1124534671502016,no
#1,absences,-0.011352715335048558,0.9436376538748779,no
#1,activities,0.2245432982132114,0.8003920634466557,no
#1,paid,-2.6734593138314358,0.09907369994464338,yes
#1,famsup,2.630139193261606,0.02872292229486434,yes
#1,schoolsup,-9.026461856094649,0.0018010450357934889,yes
#1,studytime,0.5655439215019515,0.586173472816161,no
#2,const,-5.739873153542768,0.0017584206716418868,yes
#2,G1,0.9071272302307996,0.0007087543740602251,yes
#2,G2,0.4534193300642226,0.046838886334176946,yes
#2,absences,-0.021229712415024388,0.8745409464677548,no
#2,activities,0.21228621506422174,0.7651614513114758,no
#2,paid,-2.945075236188661,0.0425117165028965,yes
#2,famsup,2.133446520217393,0.020826252977165866,yes
#2,schoolsup,-9.174480089940197,0.000291498248596323,yes
#2,studytime,0.8421240129205863,0.314797203533912,no
#3,const,-6.156682884390406,0.003774033700604084,yes
#3,G1,0.9746187193356984,0.0011902028846674853,yes
#3,G2,0.4065554924560906,0.08058401740014338,yes
#3,absences,0.022125096660456034,0.8870664561573585,no
#3,activities,0.42873950770700464,0.6240019559618384,no
#3,paid,-2.7993299786567887,0.0789424463417025,yes
#3,famsup,2.027065828866441,0.06231727096459677,yes
#3,schoolsup,-9.002651419825762,0.0012243354271078263,yes
#3,studytime,0.8270676366542102,0.42907442410838226,no
#4,const,-6.171759475644388,0.003508385754005858,yes
#4,G1,1.2110615053036562,0.0007009329036432357,yes
#4,G2,0.33543877191519444,0.2654096956897273,no
#4,absences,0.0552417474724094,0.7645566897183655,no
#4,activities,-0.36749793054651814,0.6663918117935047,no
#4,paid,-2.2253115878274463,0.14668006186562804,no
#4,famsup,2.3927656825595256,0.03583168835881558,yes
#4,schoolsup,-7.5068197610563345,0.006709528441147006,yes
